#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K00360	0	0	0	0	0	0	0	1
K00362	3	3	2	1	3	2	1	1
K00363	2	2	0	0	0	0	2	0
K00364	3	2	0	1	1	0	0	3
K00370	7	2	0	0	1	5	3	2
K00371	5	4	0	0	1	2	3	1
K00372	2	0	0	0	0	1	0	0
K00373	0	0	1	0	0	0	0	0
K00374	4	6	1	0	3	2	1	1
K00375	1	4	0	0	3	4	2	2
K00380	1	0	0	0	2	1	1	1
K00381	1	3	0	1	1	2	0	1
K00382	2	1	3	2	1	1	3	4
K00383	2	1	2	1	3	2	0	2
K00384	1	2	2	2	0	1	0	3
K00385	0	0	0	1	0	0	0	0
K00389	1	2	2	0	1	2	2	1
K00390	1	2	0	0	1	2	1	3
K00392	0	0	1	0	0	0	0	0
K00404	0	0	0	0	0	0	0	1
K00405	0	0	0	0	0	0	0	3
K00406	0	0	0	0	0	0	0	1
K00412	0	0	0	0	0	0	0	1
K00424	2	2	0	0	1	1	1	0
K00425	5	5	1	1	3	1	4	3
K00426	5	5	3	1	3	3	6	6
K00427	1	2	0	0	2	1	1	0
K00428	0	0	0	0	0	1	1	1
K00432	3	2	3	2	1	2	4	4
K00433	4	1	1	0	2	2	0	2
K00446	0	0	0	0	0	0	0	3
K00448	0	0	0	0	1	1	1	1
K00449	2	0	0	0	0	1	0	0
K00451	0	0	0	0	0	0	0	2
K00453	0	0	0	0	0	0	0	1
K00455	1	0	0	0	0	1	0	0
K00457	0	0	0	0	1	1	1	0
K00459	2	2	1	1	3	1	0	1
K00467	0	0	1	0	0	0	0	1
K00468	0	0	0	0	0	0	0	1
K00479	0	0	0	0	0	0	1	1
K00480	1	0	0	0	0	0	0	0
K00481	1	0	0	0	2	0	0	2
K00483	0	1	0	0	0	0	1	0
K00484	0	0	0	0	1	0	1	0
K00485	0	0	0	0	0	0	0	1
K00500	0	0	0	0	0	0	0	1
K00525	5	3	6	5	5	4	4	3
K00526	4	2	3	2	3	3	3	2
K00528	1	2	1	2	1	3	0	3
K00529	2	1	0	0	2	1	3	0
K00537	4	5	0	2	4	2	4	3
K00540	0	1	1	1	0	1	0	2
K00547	2	1	1	0	1	2	1	0
K00548	4	2	2	1	1	2	3	2
K00549	8	7	4	2	3	6	7	1
K00554	2	5	4	3	2	1	2	1
K00556	2	1	0	0	2	1	3	0
K00557	1	2	0	0	0	1	2	0
K00558	3	1	0	2	3	0	3	2
K00560	5	6	2	1	2	2	4	1
K00563	1	2	1	5	0	1	3	2
K00564	1	2	0	3	3	0	2	2
K00566	1	1	1	2	2	1	5	2
K00567	2	1	1	0	3	2	0	1
K00568	0	2	0	0	1	0	1	0
K00571	0	0	0	0	0	1	1	0
K00573	1	2	0	0	1	1	1	1
K00574	1	2	2	1	0	1	2	2
K00575	1	3	0	0	1	2	0	2
K00588	0	1	3	2	0	2	0	1
K00590	0	0	0	0	1	0	0	0
K00595	0	0	0	0	0	0	0	2
K00598	0	0	0	0	1	0	1	1
K00600	4	1	2	3	3	4	4	4
K00602	2	2	4	4	2	3	5	1
K00603	0	0	0	0	1	1	0	0
K00604	2	1	3	3	3	1	1	2
K00605	1	1	2	0	1	1	0	1
K00606	1	1	1	1	1	1	3	3
K00609	2	1	2	1	3	1	1	0
K00610	1	2	0	0	1	1	0	0
K00611	1	3	3	2	1	1	2	2
K00612	0	0	0	0	0	0	0	1
K00615	10	7	2	4	7	6	7	3
K00616	3	3	1	0	3	1	0	0
K00620	0	0	2	2	0	0	0	1
K00625	0	0	0	3	0	0	3	0
K00626	1	0	1	1	1	1	1	2
K00627	3	1	1	1	2	1	2	0
K00631	3	2	0	0	2	2	1	0
K00632	3	2	0	0	1	3	0	2
K00635	0	0	0	0	0	0	0	2
K00639	2	1	2	1	0	1	2	1
K00640	1	1	3	5	2	2	3	4
K00641	0	0	0	0	0	0	0	3
K00643	0	0	0	0	0	0	0	1
K00645	1	2	2	2	3	1	4	0
K00647	1	2	0	0	0	2	4	1
K00648	3	1	2	2	4	3	4	0
K00651	1	1	0	2	1	1	0	1
K00652	1	2	0	0	1	2	1	1
K00655	1	3	1	3	1	2	0	3
K00656	2	5	1	2	0	1	2	1
K00657	3	2	0	2	5	1	3	1
K00658	2	1	2	0	0	0	1	1
K00661	1	1	4	5	5	3	4	3
K00663	0	0	0	0	1	1	0	0
K00666	1	0	0	0	0	0	0	4
K00673	1	1	0	0	2	2	2	2
K00674	2	2	1	0	0	1	0	3
K00675	1	2	0	0	1	2	3	1
K00677	2	2	0	0	1	1	1	0
K00681	1	3	0	0	2	0	1	1
K00684	1	2	0	0	2	1	3	0
K00687	1	0	1	1	1	0	3	0
K00688	5	4	6	4	1	3	8	1
K00690	0	0	0	1	0	0	0	0
K00691	0	0	1	3	1	1	1	0
K00694	2	2	0	1	1	3	2	1
K00697	2	1	1	0	2	0	0	0
K00700	2	1	2	2	3	1	0	3
K00703	2	2	4	1	2	1	2	2
K00705	2	1	2	0	1	2	1	0
K00712	1	1	1	0	0	1	2	2
K00720	1	1	0	0	1	0	1	0
K00748	3	0	0	0	1	1	1	2
K00756	0	1	2	1	1	1	1	0
K00757	2	1	0	0	2	3	1	0
K00758	2	2	1	0	1	0	1	0
K00759	2	3	3	2	3	0	1	4
K00760	0	3	2	5	1	2	8	3
