#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K01653	1	4	2	1	2	5	4	5
K01654	0	1	0	0	0	0	0	0
K01657	1	1	1	0	5	1	2	2
K01658	1	0	0	1	2	0	0	1
K01661	2	2	1	1	1	1	1	0
K01662	3	1	1	1	1	3	3	1
K01664	0	1	0	0	0	1	0	1
K01665	1	2	0	0	0	0	2	1
K01666	1	0	0	0	1	3	0	0
K01669	1	2	0	0	0	0	0	1
K01671	1	1	0	0	0	1	1	0
K01673	5	1	0	0	2	4	4	4
K01674	0	1	0	0	0	0	0	0
K01675	0	1	0	0	1	0	0	0
K01676	3	2	0	0	3	2	2	1
K01679	1	3	0	1	1	0	1	1
K01681	1	1	1	1	1	0	1	0
K01682	2	1	0	0	1	2	0	0
K01684	1	2	0	0	1	1	0	0
K01685	2	2	0	0	1	1	0	1
K01686	4	3	5	3	2	1	2	2
K01687	3	3	2	0	2	2	0	1
K01689	5	2	5	5	4	1	2	1
K01690	3	1	1	0	1	2	2	0
K01692	2	1	1	0	1	3	2	7
K01693	0	1	0	0	0	0	1	4
K01695	1	0	1	1	3	1	1	0
K01696	2	1	2	2	4	1	2	0
K01697	1	1	0	0	1	1	0	2
K01698	3	2	0	2	1	1	0	0
K01699	0	0	0	0	0	1	0	0
K01703	1	2	0	2	2	1	2	2
K01704	3	2	0	2	2	2	2	3
K01706	2	0	0	0	1	1	1	0
K01708	1	1	0	0	1	1	0	0
K01710	2	1	2	2	1	1	1	1
K01711	2	1	0	0	1	1	1	0
K01712	2	2	0	0	0	1	1	0
K01713	1	0	0	0	0	1	0	0
K01714	3	3	1	1	4	4	3	0
K01716	1	2	0	0	1	1	1	0
K01719	1	1	3	1	3	2	2	2
K01720	0	0	0	0	0	0	0	3
K01724	0	0	0	0	0	0	0	2
K01726	2	2	2	1	1	0	1	2
K01727	0	0	1	1	0	0	0	0
K01730	1	2	0	0	0	2	1	0
K01733	2	2	0	0	3	3	1	0
K01734	1	1	0	2	3	1	2	0
K01735	2	2	2	2	1	1	1	0
K01736	4	1	5	0	1	2	3	2
K01737	2	3	0	0	1	1	3	1
K01738	1	2	1	2	2	1	2	3
K01739	2	1	0	0	2	1	0	1
K01740	1	0	1	1	0	0	0	0
K01744	0	2	0	0	1	2	1	1
K01745	1	2	1	0	1	1	1	2
K01749	1	2	1	1	3	2	1	1
K01751	1	1	1	1	1	0	1	0
K01752	2	5	7	8	7	5	4	2
K01753	1	4	2	0	1	2	1	0
K01754	3	1	2	3	3	3	2	5
K01755	3	3	5	4	3	3	3	3
K01756	4	1	2	3	4	1	5	1
K01759	1	0	2	2	2	1	2	0
K01760	2	2	2	2	0	2	2	1
K01761	0	0	0	0	0	0	0	1
K01766	1	0	0	0	1	2	1	2
K01770	3	1	0	0	2	2	2	0
K01771	0	0	0	0	0	0	1	0
K01772	2	2	2	1	1	1	0	4
K01775	7	2	5	6	6	4	4	2
K01776	2	2	2	3	1	0	1	3
K01778	1	3	1	3	2	2	2	2
K01779	2	0	2	1	1	2	1	0
K01782	2	0	0	0	0	0	0	1
K01783	3	2	4	5	2	1	2	2
K01784	2	1	2	2	1	2	5	4
K01785	2	1	2	2	3	2	6	1
K01788	1	3	1	1	4	2	0	0
K01790	0	1	1	2	0	0	0	1
K01791	2	2	2	2	3	2	5	1
K01792	2	3	0	0	1	2	1	0
K01800	0	0	0	0	0	0	0	1
K01801	0	0	0	0	1	1	0	0
K01803	2	3	2	3	1	2	3	1
K01804	0	4	1	1	4	0	0	0
K01805	3	3	2	0	2	3	1	0
K01807	3	1	2	3	2	1	2	1
K01808	0	3	0	0	1	2	0	1
K01809	2	5	7	5	1	1	3	1
K01810	3	1	4	3	1	0	4	1
K01811	1	1	0	0	2	2	1	0
K01812	2	3	2	2	1	4	4	1
K01813	2	1	2	1	1	2	1	0
K01814	1	2	0	2	3	1	1	1
K01815	1	2	1	3	2	1	1	2
K01816	2	0	0	0	2	0	1	0
K01817	0	0	0	1	2	0	0	0
K01818	0	0	1	2	1	1	0	1
K01819	0	0	2	2	0	0	0	0
K01821	1	0	0	3	2	3	3	0
K01823	1	4	2	2	2	0	2	1
K01825	2	2	0	0	0	2	1	0
K01826	1	1	0	0	0	0	0	0
K01834	2	1	1	4	3	3	3	2
K01835	1	2	1	3	2	1	4	0
K01838	1	1	4	2	0	1	3	1
K01839	3	1	5	4	2	2	3	0
K01840	1	2	0	0	0	1	1	2
K01845	1	2	1	0	0	1	3	1
K01846	0	0	0	0	1	0	0	0
K01847	0	0	0	0	0	1	1	0
K01854	0	0	0	0	0	0	2	0
K01856	1	0	0	0	0	2	0	1
K01857	2	0	0	0	1	1	2	0
K01858	0	0	0	0	0	0	0	1
K01866	1	2	3	3	2	2	0	4
K01867	4	2	2	1	1	3	6	2
K01868	4	4	5	7	3	2	4	2
K01869	2	2	9	6	3	3	4	2
K01870	4	4	5	1	3	1	2	5
K01872	4	3	6	5	1	2	2	4
K01873	4	2	4	2	2	1	4	3
K01874	4	1	4	4	1	2	2	3
K01875	3	1	4	3	3	1	5	1
K01876	4	3	3	4	1	2	2	1
K01878	1	2	1	2	0	0	1	1
K01879	1	1	1	1	4	0	1	2
K01880	1	0	0	0	0	0	0	0
K01881	3	4	5	4	4	0	0	2
K01883	4	2	6	4	1	1	4	2
K01885	4	3	1	1	2	1	2	2
K01886	3	2	1	0	1	0	2	0
K01887	4	5	7	5	1	4	1	3
K01889	2	2	5	3	1	1	2	2
K01890	4	2	4	5	2	2	3	1
K01892	4	3	3	1	4	1	1	0
K01893	4	2	3	2	0	0	1	0
K01894	1	0	0	0	1	1	3	0
K01895	1	2	0	0	1	1	0	1
K01897	2	2	1	0	0	0	1	2
K01902	1	1	0	0	0	1	1	0
K01903	0	1	0	0	2	1	0	1
K01910	0	2	0	0	1	1	0	0
K01911	4	2	1	1	0	1	1	0
K01912	4	1	0	0	1	3	3	1
K01914	0	1	0	0	0	1	1	1
K01915	6	3	4	4	1	5	4	6
K01916	1	1	0	2	2	1	0	1
K01918	1	2	2	1	1	1	0	0
K01919	1	3	4	5	1	3	2	0
K01920	1	2	0	0	0	0	2	1
K01921	3	5	3	5	4	1	1	2
K01923	0	1	2	2	0	1	3	3
K01924	3	1	3	1	1	1	3	3
K01925	2	1	4	3	2	3	0	2
K01926	0	0	1	4	3	1	1	2
K01928	1	1	1	0	1	1	0	0
K01929	2	0	1	2	2	1	2	2
K01932	0	0	1	0	0	0	0	0
K01933	4	2	2	2	1	1	1	4
K01934	0	2	4	2	2	3	0	2
K01935	3	3	2	0	2	3	0	0
K01937	4	4	3	4	2	1	2	3
K01938	2	0	1	1	2	1	1	1
K01939	4	1	1	4	2	1	5	0
K01940	2	2	0	1	3	2	1	4
K01941	1	0	0	0	1	0	0	0
K01945	2	1	4	3	1	2	4	3
K01950	0	0	0	0	0	0	0	1
K01951	5	5	5	4	1	4	2	3
K01952	3	2	0	0	1	1	1	0
K01953	2	3	0	3	0	1	4	6
K01955	1	2	1	0	1	1	1	1
K01956	2	2	2	3	1	2	1	2
K01958	0	0	1	1	0	1	0	1
K01961	4	1	1	2	0	0	1	1
K01962	3	1	0	1	1	2	1	1
K01963	1	1	1	1	2	3	2	1
K01966	0	0	0	0	0	0	0	1
K01971	0	0	1	0	0	0	0	1
K01972	4	3	4	2	6	5	6	1
K01974	0	0	0	0	0	1	0	0
K01975	1	3	0	0	1	1	1	0
K01989	0	0	3	5	0	1	3	0
K01990	4	4	9	9	6	3	6	16
K01991	1	3	1	0	2	0	2	2
K01992	1	0	0	0	0	1	0	0
K01993	3	1	0	0	1	2	3	2
K01995	2	4	2	2	5	3	1	5
K01996	2	2	1	1	3	2	1	2
K01997	1	2	2	2	3	4	4	4
K01998	1	3	1	0	6	3	2	2
K01999	2	4	1	1	2	3	2	1
K02000	0	1	2	2	2	1	1	1
K02001	2	1	2	2	1	2	5	3
K02002	0	1	1	1	1	1	1	3
K02003	2	2	5	9	5	4	3	3
K02004	7	3	23	18	7	9	7	10
K02006	0	0	0	0	0	1	0	0
K02007	0	0	0	0	0	0	1	0
K02008	0	0	0	0	0	1	1	0
K02009	0	0	0	0	1	0	0	0
K02010	0	0	0	0	1	0	0	0
K02011	0	1	0	0	2	2	2	2
K02012	1	0	0	0	2	2	0	0
K02013	1	2	4	4	5	3	4	10
K02014	5	6	0	0	3	7	5	16
K02015	5	7	14	11	7	12	10	11
K02016	3	8	7	4	5	3	6	12
K02017	1	2	0	0	1	1	0	1
K02018	1	2	2	1	2	0	0	1
K02019	1	2	0	1	3	0	1	0
K02020	5	1	2	1	5	5	2	2
K02024	1	4	1	0	1	2	4	0
K02025	0	1	1	1	10	4	1	1
K02026	0	1	4	5	6	3	4	4
K02027	0	0	2	3	8	1	4	2
K02028	2	5	5	7	6	6	6	2
K02029	1	3	4	5	8	8	8	3
K02030	5	7	6	9	8	8	9	9
K02031	4	2	0	1	2	2	3	7
K02032	1	1	1	0	0	4	0	3
K02033	2	3	3	1	5	2	5	10
K02034	6	3	3	2	2	6	3	12
K02035	0	4	1	2	7	2	2	11
K02036	4	1	3	5	3	3	2	1
K02037	2	1	1	1	1	1	3	4
K02038	1	2	2	2	3	1	1	1
K02039	1	2	4	1	4	1	3	2
K02040	1	4	1	6	4	1	2	3
K02041	2	1	2	2	5	2	3	1
K02042	2	1	4	4	8	2	5	3
K02043	1	1	0	0	0	2	0	1
K02044	2	1	4	3	4	2	2	0
K02045	2	1	0	0	0	1	0	2
K02046	1	1	2	0	2	1	1	2
K02047	2	2	0	0	1	2	0	1
K02048	1	2	0	0	1	0	0	1
K02049	1	0	0	0	1	0	1	6
K02050	1	0	3	0	0	1	1	7
K02051	0	0	1	1	3	3	2	2
K02052	0	0	0	0	0	0	1	1
K02053	0	0	0	0	0	0	0	1
K02054	0	0	0	0	0	0	0	1
K02055	0	1	0	0	1	1	1	2
K02057	0	0	1	0	0	0	0	1
K02058	0	1	0	0	1	1	0	1
K02063	1	3	1	0	2	1	1	1
K02064	1	3	0	0	1	1	1	0
K02065	0	2	0	0	1	0	2	1
K02066	2	2	0	0	1	0	2	2
K02067	2	2	0	0	1	0	2	4
K02068	1	1	3	2	1	2	1	1
K02069	1	1	3	1	0	2	2	0
K02071	2	4	3	5	4	2	0	2
K02072	1	6	2	3	3	6	3	1
K02073	5	5	6	6	4	5	8	7
K02074	0	0	0	0	1	1	1	0
K02075	0	1	0	0	1	1	0	1
K02076	0	0	0	2	0	1	0	1
K02077	0	1	1	1	0	1	0	0
K02078	5	2	4	3	1	5	1	1
K02079	1	1	0	0	0	0	0	0
K02081	1	2	0	1	0	0	0	0
K02082	0	2	2	2	1	0	0	0
K02083	1	0	0	0	4	3	0	0
K02086	1	1	3	2	1	0	2	2
K02099	2	0	0	0	1	1	1	0
K02100	1	1	0	0	1	0	0	1
K02103	0	0	1	2	1	1	3	0
K02106	3	1	0	0	0	1	1	0
K02108	3	1	2	2	0	0	3	2
K02109	1	4	5	3	2	1	1	0
K02110	2	1	3	2	3	1	2	2
K02111	3	1	5	4	1	3	4	3
K02112	2	4	4	2	1	0	1	3
K02113	2	4	5	3	4	1	2	2
K02114	3	2	4	3	2	1	2	1
K02115	3	2	3	3	2	1	2	3
K02117	0	0	0	1	1	0	1	0
K02118	0	0	1	1	0	0	0	1
K02119	0	0	0	2	2	1	1	1
K02120	0	0	0	3	1	0	0	1
K02122	0	0	1	2	2	1	0	1
K02123	0	0	1	0	1	0	0	0
K02124	0	0	1	1	0	1	0	1
K02160	2	2	4	3	2	2	2	2
K02167	1	1	0	1	1	0	1	0
K02168	3	1	0	0	0	2	0	1
K02169	1	1	0	0	1	2	1	1
K02170	1	1	0	0	1	0	1	0
K02171	0	0	1	1	3	0	0	1
K02182	0	0	0	0	0	0	0	1
K02188	0	0	0	0	0	1	2	0
K02189	0	0	0	0	1	1	0	2
K02190	0	0	1	0	0	0	2	0
K02191	0	0	0	0	0	0	1	0
K02192	0	1	0	0	0	0	0	0
K02193	1	1	0	0	0	1	0	0
K02194	2	1	0	0	0	0	0	0
K02195	0	1	0	0	1	1	1	1
K02196	1	0	0	0	1	1	0	0
K02197	2	1	1	0	0	0	0	1
K02198	1	0	0	0	0	0	0	2
K02199	2	0	0	0	1	2	1	4
K02200	2	1	0	0	1	3	0	0
K02217	1	0	0	0	1	0	1	0
K02221	2	2	1	2	3	2	0	2
K02224	0	0	0	0	0	1	1	1
K02226	0	0	0	0	1	1	0	2
K02227	0	1	0	0	0	0	1	1
K02229	0	0	0	0	0	0	0	1
K02231	0	0	0	1	1	1	0	1
K02232	0	0	1	0	1	1	1	0
K02237	2	1	1	2	1	1	2	2
K02238	3	1	2	5	4	3	3	1
K02240	0	0	1	5	1	0	1	3
K02242	2	2	2	2	1	2	2	0
K02243	0	0	2	2	1	0	2	0
K02244	0	0	2	2	2	0	0	1
K02245	0	0	4	4	1	0	0	1
K02246	0	0	2	4	1	0	1	0
K02248	0	0	1	1	3	0	0	2
K02255	0	1	0	0	1	0	1	0
K02257	0	2	0	0	1	0	0	3
K02259	0	0	1	0	0	0	0	0
K02274	0	0	0	0	0	0	0	1
K02275	0	0	0	0	0	0	0	1
K02278	0	1	0	0	2	0	0	0
K02279	1	0	0	0	0	0	1	1
K02280	1	1	0	0	2	0	0	1
K02283	1	0	0	0	0	0	1	1
K02291	0	1	1	0	0	1	0	0
K02297	2	2	0	0	1	0	0	0
K02298	1	1	0	0	0	0	0	1
K02299	1	1	0	0	1	0	2	1
K02300	1	1	0	0	1	0	0	0
K02302	3	3	1	0	0	1	2	0
K02303	1	0	2	1	0	0	1	0
K02304	0	0	0	0	0	0	1	0
K02313	3	3	5	5	4	1	4	1
K02314	7	4	6	3	6	1	4	4
K02315	1	2	0	0	0	2	2	0
K02316	2	2	5	4	2	3	5	3
K02317	2	1	0	0	0	1	0	0
K02334	0	1	0	0	0	0	0	0
K02335	2	2	3	2	1	0	3	1
K02336	1	3	0	0	1	2	3	1
K02337	4	3	1	3	1	1	1	1
K02338	1	1	4	3	2	3	7	5
K02339	2	2	0	0	1	1	1	1
K02340	3	3	2	3	3	2	4	2
K02341	1	2	1	2	2	1	1	2
K02342	2	1	3	2	5	1	1	7
K02343	3	3	1	4	2	2	3	1
K02344	2	1	0	0	1	1	0	0
K02345	2	2	0	0	0	1	0	0
K02346	3	2	1	2	2	1	2	2
K02348	2	2	0	4	2	3	1	0
K02355	7	5	6	4	3	3	2	4
K02356	5	6	3	4	2	3	3	5
K02357	2	2	3	3	1	1	3	2
K02358	6	5	5	3	4	1	5	2
K02361	2	2	0	0	1	2	2	0
K02362	1	3	1	0	0	1	1	2
K02363	0	2	0	0	2	2	0	0
K02364	1	1	0	0	1	1	0	0
K02371	0	0	0	0	1	0	2	0
K02372	3	2	3	5	3	3	3	4
K02377	1	0	0	0	0	1	2	0
K02379	1	3	1	1	1	2	0	2
K02380	2	1	0	0	0	1	1	1
K02381	1	1	0	0	0	1	1	0
K02386	2	2	1	0	0	1	1	1
K02387	2	4	0	0	1	1	2	0
K02388	1	2	1	0	1	2	3	3
K02389	1	4	2	0	1	1	2	0
K02390	0	2	0	0	2	0	3	1
K02391	1	0	1	0	0	1	3	1
K02392	1	4	0	0	0	1	6	1
K02393	2	3	0	0	0	2	3	1
K02394	2	5	0	0	2	1	3	1
K02395	2	3	4	11	3	7	2	3
K02396	2	2	0	0	0	1	3	0
K02397	1	2	0	0	0	0	0	1
K02398	2	1	2	0	2	2	2	0
K02399	1	4	2	0	1	0	3	2
K02400	2	2	0	0	0	1	0	1
K02401	1	3	0	0	1	1	1	1
K02402	2	2	0	0	0	0	1	1
K02403	1	1	0	0	0	0	0	0
K02405	2	4	0	0	0	1	2	1
K02406	1	6	0	1	2	2	0	3
K02407	1	3	0	2	0	2	1	0
K02408	1	4	0	0	1	1	2	1
K02409	2	4	0	0	0	1	0	1
K02410	0	3	1	0	0	1	4	1
K02411	2	3	3	0	1	1	4	0
K02412	1	4	0	1	0	0	2	2
K02413	1	2	0	0	1	1	2	1
K02414	0	4	0	0	1	1	2	0
K02415	0	2	0	0	3	2	1	0
K02416	0	4	1	0	0	1	0	1
K02417	1	3	0	0	1	2	0	1
K02418	1	3	0	0	0	1	1	1
K02419	2	2	0	1	0	2	5	1
K02420	2	3	0	0	0	1	0	0
K02421	1	2	0	0	1	2	0	1
K02422	1	3	0	0	0	2	1	2
K02423	2	1	0	0	0	0	1	0
K02424	1	1	0	2	1	2	2	0
K02426	3	1	0	0	2	2	1	0
K02427	0	2	0	0	1	2	0	0
K02428	2	3	5	2	1	1	1	0
K02429	2	0	0	0	2	3	2	2
K02430	0	0	0	0	2	1	0	0
K02431	1	1	0	0	1	2	1	0
K02433	2	0	1	1	1	0	1	1
K02434	1	2	4	3	1	1	1	4
K02435	1	0	2	2	2	1	2	1
K02436	0	0	0	0	1	0	1	0
K02437	2	3	2	3	4	2	1	4
K02438	0	1	0	0	0	1	0	0
K02439	1	3	1	0	2	1	1	0
K02440	2	1	1	4	1	2	4	2
K02441	1	2	1	0	1	1	0	0
K02442	0	1	0	0	0	0	0	0
K02443	1	0	0	1	2	0	0	0
K02444	2	4	0	0	1	1	0	0
K02445	1	1	0	0	1	0	0	1
K02446	1	1	1	0	2	1	1	3
K02451	0	0	0	0	1	0	0	0
K02452	0	0	0	0	1	1	0	1
K02453	1	1	0	0	0	1	1	1
K02454	0	2	0	0	1	0	0	0
K02455	0	2	0	0	0	0	1	0
K02456	1	2	0	0	0	1	0	1
K02457	0	2	0	0	0	0	1	0
K02458	1	2	0	0	1	1	1	1
K02459	1	1	0	0	1	1	0	0
K02460	1	2	0	0	2	1	0	0
K02461	1	1	0	0	1	0	1	0
K02462	0	1	0	0	0	0	0	0
K02463	0	1	0	0	1	1	0	1
K02465	0	1	0	0	0	0	0	0
K02466	0	1	1	0	0	1	1	0
K02467	0	1	0	0	1	0	1	0
K02468	0	1	1	0	1	0	0	0
K02469	2	2	4	2	3	1	1	2
K02470	1	1	2	3	2	1	0	2
K02472	1	2	0	0	0	1	0	1
K02473	0	0	0	0	0	0	0	1
K02477	3	4	0	0	4	0	1	2
K02478	2	3	0	1	3	1	1	0
K02483	1	2	2	4	5	4	2	3
K02485	1	2	0	0	1	0	1	0
K02488	0	0	0	0	0	0	0	1
K02492	2	2	1	0	2	2	0	3
K02493	2	2	1	1	3	2	3	5
K02494	3	1	0	0	1	2	1	1
K02495	5	3	3	2	4	0	3	5
K02496	1	3	0	0	2	2	0	0
K02498	1	0	1	0	0	1	2	0
K02500	1	3	1	1	1	3	1	0
K02501	2	1	1	2	4	1	3	0
K02502	0	1	0	0	0	0	0	0
K02503	0	2	0	2	4	2	1	3
K02504	1	2	0	0	0	1	0	0
K02505	1	0	0	0	1	1	3	0
K02506	0	0	0	0	0	0	3	0
K02507	1	2	0	0	1	0	2	0
K02508	0	0	0	0	0	1	1	0
K02509	1	0	0	0	0	0	0	0
K02510	3	1	0	0	0	1	0	0
K02511	0	0	1	0	1	1	0	0
K02517	1	2	0	0	1	0	0	1
K02518	0	5	7	3	1	2	2	2
K02519	6	4	3	5	3	3	2	1
K02520	2	2	3	2	0	1	2	2
K02521	2	1	0	0	2	2	1	2
K02523	2	1	0	0	1	0	1	0
K02525	2	2	2	2	4	2	2	0
K02526	3	2	0	0	1	1	3	0
K02527	2	2	0	0	0	2	2	0
K02528	3	2	1	3	2	3	3	3
K02529	6	14	3	7	15	11	15	10
K02530	0	0	0	1	1	0	0	0
K02532	1	2	1	0	3	5	6	0
K02533	1	1	0	0	0	0	0	0
K02535	2	2	0	0	1	0	0	1
K02536	3	2	0	0	2	2	0	0
K02538	0	0	0	0	0	0	1	0
K02548	1	0	1	0	2	2	0	0
K02549	0	0	0	0	0	2	1	2
K02551	2	3	2	1	2	1	1	3
K02552	0	2	0	0	2	2	1	1
K02553	2	2	2	0	1	1	1	1
K02554	1	0	0	0	2	2	0	0
K02556	2	5	0	0	1	1	2	0
K02557	2	3	0	0	1	1	2	3
K02558	1	2	0	0	2	2	1	0
K02560	1	1	0	0	2	0	1	0
K02562	2	1	0	0	1	2	2	0
K02563	2	1	5	2	2	3	2	1
K02564	2	4	2	2	2	1	2	0
K02565	1	1	0	0	0	0	1	0
K02566	2	1	0	0	1	1	0	1
K02567	2	0	0	0	0	1	0	0
K02568	1	0	0	0	1	2	0	0
K02569	1	0	0	0	0	1	0	0
K02570	2	0	0	1	0	1	0	0
K02572	2	0	0	0	1	0	0	0
K02573	1	0	0	0	1	0	0	0
K02574	0	0	0	0	1	1	0	0
K02575	1	3	0	0	1	2	0	1
K02598	3	1	0	0	1	1	1	0
K02600	4	3	4	7	2	3	3	2
K02601	2	0	3	2	2	1	1	2
K02609	1	0	0	0	1	0	0	2
K02610	1	0	0	0	1	1	1	1
K02611	1	1	0	0	1	1	0	1
K02612	1	1	0	0	1	2	0	0
K02613	1	1	0	0	1	0	0	0
K02614	1	1	0	0	1	2	0	0
K02615	0	1	0	0	1	0	2	0
K02616	2	0	1	0	0	0	2	0
K02617	1	1	0	0	0	1	2	1
K02618	2	1	0	0	1	1	2	2
K02619	1	1	0	0	0	0	2	0
K02621	1	2	1	2	0	0	1	2
K02622	1	2	1	1	2	0	0	0
K02623	1	1	0	0	2	1	0	0
K02624	4	0	1	0	0	2	0	1
K02647	1	2	0	0	2	2	1	0
K02654	1	2	0	0	2	1	1	0
K02655	0	0	0	0	0	0	0	1
K02656	1	1	0	0	0	0	0	0
K02679	1	0	0	0	1	2	0	0
K02680	2	2	0	0	0	0	0	0
K02681	2	1	0	0	1	2	2	0
K02682	2	1	0	0	1	1	1	0
K02686	1	1	0	0	1	1	1	0
K02687	1	2	1	3	2	2	3	2
K02688	0	1	0	0	0	1	0	0
K02742	2	1	0	0	1	1	1	0
K02744	1	1	0	0	0	0	0	0
K02745	0	2	1	1	0	0	1	0
K02746	0	1	1	1	0	0	0	0
K02747	1	2	1	1	0	0	0	0
K02750	0	0	0	1	1	0	0	0
K02753	2	1	0	0	2	0	0	1
K02757	2	0	2	2	4	1	2	0
K02759	1	3	3	8	4	4	3	3
K02760	1	4	2	8	7	4	6	2
K02761	4	7	14	19	17	7	8	8
K02768	0	0	0	1	0	0	0	0
K02769	0	0	0	1	1	0	0	0
K02770	1	1	2	2	2	1	3	2
K02773	0	0	3	4	2	1	1	1
K02774	0	0	1	7	3	2	2	7
K02775	0	0	3	6	3	2	0	2
K02777	2	1	1	2	2	1	1	0
K02779	1	1	0	0	1	1	0	0
K02781	0	4	3	2	0	1	2	3
K02782	0	1	1	1	0	0	1	0
K02783	0	1	1	0	1	0	1	0
K02784	2	1	2	1	2	3	1	0
K02786	0	0	0	0	0	0	1	0
K02788	0	0	0	0	0	0	1	0
K02791	1	3	1	3	2	0	3	0
K02793	0	0	0	1	0	0	0	0
K02794	1	1	2	4	3	2	3	0
K02795	1	4	1	4	3	1	2	1
K02796	2	0	1	3	2	2	0	1
K02798	0	0	1	0	0	0	2	0
K02800	5	2	2	1	2	3	1	1
K02804	1	3	0	0	0	1	2	0
K02805	0	2	0	0	3	2	2	0
K02806	1	1	1	0	1	0	0	1
K02810	0	0	2	1	1	1	0	0
K02812	0	0	0	0	0	1	0	0
K02813	0	0	0	1	1	1	0	0
K02814	0	0	0	1	1	0	0	0
K02815	0	0	0	1	1	1	0	1
K02819	0	1	2	0	1	1	1	0
K02821	0	1	2	1	2	1	0	0
K02822	0	2	1	2	6	4	3	1
K02823	1	0	1	2	1	0	0	1
K02824	1	2	1	2	3	0	3	1
K02825	1	0	3	2	0	0	2	2
K02834	0	3	0	4	2	2	2	1
K02835	2	1	2	0	2	2	2	1
K02836	3	2	3	3	4	1	3	4
K02837	2	3	2	1	1	0	3	2
K02838	3	1	4	3	3	2	3	3
K02839	0	0	0	0	1	0	1	0
K02841	0	1	0	0	1	1	1	0
K02843	1	1	0	0	2	2	2	1
K02844	1	2	0	0	1	1	1	0
K02846	0	2	0	0	1	0	1	0
K02847	0	0	0	0	0	1	0	0
K02848	0	0	0	0	1	1	0	0
K02849	1	2	0	0	1	1	1	0
K02851	1	3	1	3	1	1	2	3
K02852	0	2	0	0	1	1	1	0
K02853	1	2	0	0	0	2	0	0
K02854	1	2	0	0	0	2	1	0
K02855	1	2	0	0	0	2	1	0
K02856	1	1	0	0	1	2	0	0
K02858	1	2	0	1	0	1	3	0
K02859	0	0	0	2	0	0	0	0
K02860	2	3	4	3	2	1	0	3
K02863	4	5	3	3	0	0	1	2
K02864	3	3	2	2	1	0	3	5
K02867	1	3	3	4	2	1	4	3
K02871	1	3	2	4	1	0	2	1
K02874	3	2	3	3	4	2	2	0
K02876	2	1	6	3	2	4	3	5
K02878	3	1	5	1	4	1	2	3
K02879	3	2	4	3	3	3	3	0
K02881	2	3	4	5	1	0	4	1
K02884	0	3	2	3	4	3	2	1
K02886	6	4	3	2	4	4	1	2
K02887	0	2	4	1	3	0	2	1
K02888	4	3	4	3	0	0	1	2
K02890	2	2	4	3	2	1	3	0
K02892	5	5	3	3	2	3	2	1
K02895	0	3	5	3	2	2	0	2
K02897	2	2	1	2	2	0	0	1
K02899	3	2	3	3	2	2	2	0
K02902	1	0	0	0	1	2	1	2
K02904	2	2	3	2	2	1	2	3
K02906	4	5	4	2	4	2	2	0
K02907	1	2	5	4	3	3	0	3
K02909	2	3	1	0	2	3	1	1
K02911	2	3	2	3	4	3	1	2
K02913	0	4	2	2	5	1	4	3
K02914	0	0	1	1	1	1	0	0
K02916	0	2	4	2	2	1	0	1
K02919	4	0	0	3	3	2	1	0
K02926	2	2	4	3	1	2	4	3
K02931	5	3	5	3	2	4	4	1
K02933	3	4	5	3	4	1	5	1
K02935	2	2	3	2	2	0	1	0
K02939	2	4	2	2	0	3	4	1
K02945	6	3	5	2	2	4	2	0
K02946	3	3	3	3	3	1	2	3
K02948	2	2	3	1	2	3	0	6
K02950	5	1	4	3	3	3	3	3
K02952	0	2	5	3	0	2	2	3
K02954	4	1	4	4	3	3	1	0
K02956	1	2	4	1	2	3	1	2
K02959	1	2	2	2	1	1	3	3
K02961	2	2	3	3	5	3	3	3
K02963	0	2	3	2	2	0	1	1
K02965	4	2	3	2	2	2	1	1
K02967	1	2	2	3	2	1	5	1
K02968	0	2	1	2	2	2	3	0
K02970	0	0	1	3	1	1	2	1
K02972	0	1	0	0	0	0	0	0
K02982	5	2	6	2	3	2	2	3
K02986	2	2	3	2	3	2	2	2
K02988	1	3	5	4	2	0	2	1
K02990	1	3	3	2	1	1	1	2
K02992	4	2	3	3	1	1	1	1
K02994	3	4	6	3	1	3	1	3
K02996	1	3	3	4	3	1	1	2
K03040	1	2	3	2	2	4	2	6
K03043	4	3	7	3	1	2	1	1
K03046	8	4	8	6	1	5	3	2
K03048	0	0	2	3	1	1	1	0
K03060	1	0	2	3	1	1	1	2
K03070	3	1	7	5	3	2	1	5
K03071	1	1	1	0	1	1	0	2
K03072	1	0	0	0	0	1	2	0
K03073	1	2	3	1	3	1	3	2
K03074	1	2	0	0	1	0	0	1
K03075	2	1	0	3	2	1	0	3
K03076	3	2	4	4	1	1	2	2
K03077	3	4	0	1	3	1	6	4
K03078	0	1	1	0	1	1	0	1
K03079	1	1	1	0	2	1	2	1
K03086	3	2	2	3	1	2	3	0
K03087	1	1	1	0	1	0	1	1
K03088	1	3	3	4	2	3	2	14
K03089	2	2	1	0	2	1	0	3
K03092	0	2	2	2	3	2	0	2
K03095	0	0	2	3	1	0	2	0
K03098	1	2	0	1	1	0	3	1
K03100	2	1	2	5	6	1	1	2
K03101	1	2	1	2	4	2	2	5
K03106	4	3	4	2	1	2	2	2
K03110	4	1	4	1	2	3	4	4
K03111	2	3	9	9	2	1	5	4
K03112	1	2	0	0	2	2	2	1
