vsd_tax,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Neomicrococcus,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.99654300683041,1.17395295473083,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Rothia,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.72461856466851,0.0758742762437255,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.03303003523214,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__;g__,-0.0738344395022788,1.60004486768763,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__,1.29652589055174,0.812739652949929,2.02763881474071,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__,1.97327988111236,0.812739652949929,1.19283133327096,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Apibacter,6.46877404386217,7.02304638724604,7.0057010797889,-1.88720217133198,3.3995307051918,2.79483796699351,1.72814557599766,-1.88720217133198,1.19283133327096
