Taxonomy,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Frankiales;f__Geodermatophilaceae;g__Antricoccus;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Frankiales;f__Geodermatophilaceae;g__Antricoccus;s__uncultured_bacterium_graftm_2826,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__;g__;s__,0,0,0,0,4,2,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__;s__,0,0,0,0,3,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__,0,0,0,0,32,14,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium_epidermidis,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__uncultured_actinobacterium_graftm_100,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__uncultured_bacterium_graftm_675,0,0,0,0,3,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__,0,0,0,0,2,0,0,0,1
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__,0,0,1,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__uncultured_bacterium_graftm_1822,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Intrasporangiaceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Intrasporangiaceae;g__Ornithinimicrobium;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__;s__,0,0,0,0,8,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Agromyces;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;s__,0,1,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__,0,0,0,0,2,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__uncultured_bacterium_graftm_573,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__,0,0,0,0,12,2,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_hydrocarbonoxydans,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_oxydans,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_paraoxydans,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_sp.,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_thalassium,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__uncultured_bacterium_graftm_178,0,0,0,0,0,0,0,0,0
