Taxonomy,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia;s__uncultured_bacterium_graftm_1173,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus;s__uncultured_bacterium_graftm_2893,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__,0,14,11,0,3,0,15,3,2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_cohnii,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_gallinarum,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_hominis_subsp._hominis,0,0,1,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_saprophyticus_subsp._saprophyticus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_sciuri,0,1,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_succinus_subsp._succinus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_warneri,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_xylosus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__uncultured_bacterium_graftm_579,0,0,0,1,2,4,0,1,2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__uncultured_organism_graftm_592,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__uncultured_Staphylococcus_sp.,0,1,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__;s__,12,20,13,13,117,99,9,34,28
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__;s__,0,0,0,0,1,1,0,3,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__uncultured_bacterium_graftm_988,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Desemzia;s__uncultured_Desemzia_sp.,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__uncultured_bacterium_graftm_1628,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus;s__,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus;s__uncultured_bacterium_graftm_1531,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__;s__,1,2,6,1,14,5,1,18,1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__,49,87,61,47,481,606,176,619,248
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_avium,0,0,0,0,3,3,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_casseliflavus,0,0,0,0,0,0,0,2,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_durans,0,1,1,1,1,1,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,0,4,3,1,9,11,4,16,3
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,1,0,2,0,6,6,2,3,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_gallinarum,0,0,1,0,0,3,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_hirae,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_italicus,0,0,0,0,2,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_lactis,0,0,0,0,0,0,1,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_saccharolyticus_subsp._saccharolyticus,1,2,0,0,7,8,0,9,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__uncultured_bacterium_graftm_1175,2,2,33,14,59,111,5,97,9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__uncultured_Enterococcus_sp._graftm_1,2,5,1,0,4,4,1,16,3
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__uncultured_organism_graftm_584,0,2,1,0,1,1,1,4,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Pilibacter;s__,0,0,0,1,2,2,0,4,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus;s__,0,3,1,0,2,6,0,3,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus;s__uncultured_bacterium_graftm_1543,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__;s__,1,1,3,0,5,0,2,4,8
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__,84,25,43,1,11,10,1,31,11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__Lactobacillus_brevis,0,0,1,0,3,0,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__Lactobacillus_delbrueckii,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__Lactobacillus_murinus,0,0,0,0,0,0,1,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__Lactobacillus_paracasei,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__Lactobacillus_plantarum,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__Lactobacillus_sakei,10,7,15,0,1,0,0,3,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__uncultured_bacterium_graftm_425,12,5,7,2,36,15,1,3,6
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__uncultured_compost_bacterium_graftm_10,4,2,5,0,0,0,0,2,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Lactobacillus;s__unidentified_graftm_21,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Pediococcus;s__,7,4,21,1,72,12,17,37,55
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Pediococcus;s__Pediococcus_acidilactici,0,0,0,0,2,0,0,7,7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*lactobacillaceae*;g__Pediococcus;s__Pediococcus_pentosaceus,7,0,14,1,45,4,6,36,44
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__;s__,1,1,2,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Leuconostoc*;s__,56,74,80,0,0,0,1,1,2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Leuconostoc*;s__*Leuconostoc*_mesenteroides_graftm_1,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Leuconostoc*;s__*Leuconostoc*_pseudomesenteroides,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Leuconostoc*;s__uncultured_bacterium_graftm_999,5,3,11,0,0,0,1,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Leuconostoc*;s__uncultured_*Leuconostoc*_sp.,0,1,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Weissella*;s__,4,9,62,0,0,0,0,0,2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Weissella*;s__uncultured_bacterium_graftm_2867,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Weissella*;s__uncultured_*Weissella*_sp.,0,0,1,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Weissella*;s__*Weissella*_cibaria,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Weissella*;s__*Weissella*_confusa,0,0,2,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__*Leuconostoc*aceae;g__*Weissella*;s__*Weissella*_viridescens,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__;s__,0,0,0,0,6,4,0,1,1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__,297,47,221,49,591,355,5,7,35
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus_garvieae_subsp._garvieae,0,0,0,0,0,2,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus_lactis,3,1,3,1,3,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus_lactis_subsp._cremoris,3,0,5,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus_lactis_subsp._lactis,0,1,0,0,0,0,0,0,1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__uncultured_bacterium_graftm_2140,12,2,13,11,109,101,0,7,6
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__uncultured_Firmicutes_bacterium_graftm_59,3,1,6,1,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__uncultured_Lactococcus_sp._graftm_1,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,1,2,0,0,13,11,1,5,4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pyogenes,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__uncultured_bacterium_graftm_29,1,0,0,0,1,0,1,2,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__uncultured_organism_graftm_539,0,0,0,0,0,1,0,0,1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__unidentified_graftm_61,0,0,0,0,0,0,1,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__uncultured_graftm_187;g__;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__uncultured_graftm_187;g__uncultured_bacterium_graftm_818;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0,0,0,0,0,2,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__;s__,0,0,0,0,3,26,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1;s__,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1;s__uncultured_bacterium_graftm_587,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1;s__unidentified_graftm_49,0,0,0,0,1,4,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_19;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_3;s__,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_3;s__uncultured_bacterium_graftm_3307,0,0,0,0,0,2,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_6;s__,0,0,0,0,3,18,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_6;s__uncultured_bacterium_graftm_2131,0,0,0,0,3,8,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_7;s__,0,0,0,0,0,4,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Fonticella;s__,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Haloimpatiens;s__,0,0,0,0,0,3,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Proteiniclasticum;s__,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Proteiniclasticum;s__uncultured_bacterium_graftm_1530,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__uncultured_graftm_155;s__uncultured_bacterium_graftm_851,0,0,0,0,0,3,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Heliobacteriaceae;g__Hydrogenispora;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridioides;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paraclostridium;s__,0,0,0,1,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__,0,0,0,1,0,0,0,0,2
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__uncultured_graftm_251;s__uncultured_bacterium_graftm_1159,0,0,0,0,0,0,0,0,2
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG_013;s__uncultured_bacterium_graftm_417,0,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__uncultured_graftm_50;s__uncultured_bacterium_graftm_110,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae;g__Dethiobacter;s__,3,0,2,0,0,2,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae;g__Dethiobacter;s__uncultured_bacterium_graftm_1071,1,0,0,0,0,0,0,2,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae;g__Dethiobacter;s__uncultured_low_G+C_Gram_positive_bacterium_graftm_3,0,1,3,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__,5,0,0,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__,4,0,1,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__uncultured_bacterium_graftm_976,37,0,0,0,2,0,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_UCG_010;s__uncultured_bacterium_graftm_1212,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__uncultured_bacterium_graftm_2780,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__uncultured_bacterium_graftm_795,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__ZOR0006;s__,7,24,6,1,1,3,0,0,1
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__ZOR0006;s__Firmicutes_bacterium,2,1,1,0,0,1,0,0,0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__ZOR0006;s__uncultured_bacterium_graftm_804,6,25,5,0,2,1,0,0,2
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__uncultured_bacterium_graftm_1191,0,0,1,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__uncultured_Veillonella_sp.,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sebaldella;s__,18,0,0,0,0,0,0,0,0
d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sebaldella;s__uncultured_bacterium_graftm_2632,5,0,0,0,0,0,0,0,0
d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Streptobacillus;s__uncultured_bacterium_graftm_1150,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Komeilibacteria;f__;g__;s__,0,0,0,0,0,0,0,0,2
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__;g__;s__,20,0,0,0,0,0,0,0,0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__uncultured_bacterium_graftm_84;g__;s__,13,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__uncultured_bacterium_graftm_2258,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,0,0,0,0,2,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_diminuta,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_sp.,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__uncultured_bacterium_graftm_910,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__uncultured_Brevundimonas_sp.,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Camelimonas;s__,0,0,0,0,2,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium_radiotolerans,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium_zatmanii,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__,0,0,0,0,3,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium;s__Rhizobium_leguminosarum,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium;s__uncultured_bacterium_graftm_959,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium;s__uncultured_Rhizobium_sp._graftm_1,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__uncultured_bacterium_graftm_827,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mycoplana;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum;s__,0,0,0,1,2,0,0,0,0
